idea	match_score	best_app	best_app_installs	best_app_rating	best_app_category	runners
Ad Campaign Performance Reviews	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Pulse MkT (alpha test only); Dnd Notes; Weekly Team Meeting Analyzer
Advertising Campaign Review	0.33	Job Training Notes	52	0.0	education-and-learning	TranscribeAI; Dnd Notes; Pipeline Review Analyzer
Audience Feedback Sessions	1.0	Product Demo Analyzer	13	0.0	conversation-analysis	Current Investor Meeting Analyzer; TranscribeAI; My Job Interview Coach
B Roll Footage Planning	0.33	Elon Musk	79	0.0	other	Finance AI; Cosmetic Assistant; Current Investor Meeting Analyzer
Board Meetings	1.0	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	VC Board Meeting Analyzer; Meeting Minutes Assistant; TranscribeAI
Board Retreat Planning	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Finance AI; Cosmetic Assistant; Board Meeting Analyzer
Bride And Groom Consultation	0.33	K.V Financial Services – AI Financial Guide	13	0.0	financial	
Budget Planning And Financial Analysis	0.75	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	StockSense AI; Spark; Board Meeting Analyzer
Budget Planning Sessions	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Weekly Team Meeting; 1 to 1 Meeting; Personal Chat
Bug Tracking And Resolution	0.67	Weekly Team Meeting	48	0.0	conversation-analysis	Mentor AI; Social AI; StockSense AI
Business Model Evaluation	0.33	TranscribeAI	176	0.0	conversation-analysis	Mentor AI; Social AI; Logic AI
Campaign Brainstorming Meetings	0.67	TranscribeAI	176	0.0	conversation-analysis	Weekly Team Meeting; 1 to 1 Meeting; Meeting Notes
Case Strategy Development	0.67	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	Goal Craft; Logic AI; What Would Frank Do? 
Ceremony And Reception Coordination	0.33	Weekly Team Meeting	48	0.0	conversation-analysis	1 to 1 Meeting; SetSync Pro; Health Butler
Classroom Lecture Enhancement	0.33	My Job Interview Coach	57	0.0	productivity-and-organization	Pedagogical DocuMate; Class Notes Summarizer; EchoVision
Client Briefing Sessions	0.67	TranscribeAI	176	0.0	conversation-analysis	Current Investor Meeting Analyzer; Weekly Team Meeting; 1 to 1 Meeting
Client Consultation And Case Documentation	0.75	HakiScribe	3	0.0	other	Ticket Notes
Client Consultation And Financial Planning	0.75	Current Investor Meeting Analyzer	77	0.0	conversation-analysis	K.V Financial Services – AI Financial Guide; Finance AI; Weekly Team Meeting
Client Consultation And Needs Assessment	0.25	TranscribeAI	176	0.0	conversation-analysis	
Client Consultation And Property Requirements	0.25	TranscribeAI	176	0.0	conversation-analysis	
Client Consultation And Requirements Gathering	0.5	Requirements Gathering Analyzer	71	0.0	conversation-analysis	TranscribeAI
